athlete_name,id,PR_seconds
"Barnett, Joe",7745535,906.6100001335144
"Bustos Jaimes, Javier",4993070,989.7600002288818
"Davis, Shane",6911923,979.1499996185303
"Delagrange, Collin",8743063,947.0299987792969
"Diaz, Adrian",5974744,902.539999961853
"Duggan, Patrick",1727456,917.5900001525879
"Everix, Jacob",7902600,898.8300018310547
"Fantaye, Tomas",5598081,933.3899993896484
"Gaddis, Camron",8265308,932.5400009155273
"Goodell , Evan",6691325,869.4599990844727
"Hamilton, William",7887336,907.920000076294
"Harms, Brett",5164383,902.9700000286102
"Hart, Hamish",8594897,856.8099994659424
"Herried, Isaiah",8016888,885.8899993896484
"Kiplimo, Rodgers",8245423,814.9900016784668
"Kistner, Charlie",7897746,893.4500007629395
"Leff, David",6430621,872.3899993896484
"Luehrs, James",3663147,891.810001373291
"Mendham, Chase",7382914,987.2999992370605
"Neil, Lorenzo",5477180,931.7600002288818
"Perry, Brandon",3764651,902.539999961853
"Pianga, Seth",8590833,939.1100006103516
"Pierson, Seth",2666515,939.7400016784668
"Randal, Michael",6900749,1259.2900009155273
"Schaub, Noah",5494188,855.289999961853
"Seskar, Alex",8248474,977.1599998474121
"Troy, Will",2826379,1120.8600006103516
"Woerner, Peter",1766013,925.6499996185303
"Ahrens, Bradley",8381334,932.2000007629395
"Alfredson, Corey",4996131,929.6499996185303
"Ayala, Aiden",8235001,1072.4599990844727
"Bell, Zachary",5010141,983.4899997711182
"Brinkmann, Tim",3257303,978.5900001525879
"Burnett, Jazton",7433360,1053.7200012207031
"Doherty, Rowan",5473295,905.3899998664856
"Eells, Cade",7993015,920.5200004577637
"Flanagan, Teagan",7896310,838.5200004577637
"Florian, David",7363918,1069.3199996948242
"Freeberg, Tyler",3767166,1084.9299998283386
"Gaidus, Andrew",1739812,913.8699998855591
"Giamberdino, Joe",4730567,914.1400003433228
"Hess, Jacob",8232407,890.5200004577637
"Jackson, Drew",3776403,896.25
"Jackson, James",2263951,944.5499992370605
