,athlete_link,athlete_name,meet_date,rank,team_link,team_name,time,year
0,https://tf.tfrrs.org/athletes/8587828/West_Texas_AM/William__Amponsah,"Amponsah, William","Apr 21, 2024",1,https://tf.tfrrs.org/teams/tf/TX_college_m_West_Texas_AM.html,West Texas A&M,13:47.86 @,JR-3
1,https://tf.tfrrs.org/athletes/7703415/West_Texas_AM/Harry_Louradour,"Louradour, Harry","Mar 27, 2024",2,https://tf.tfrrs.org/teams/tf/TX_college_m_West_Texas_AM.html,West Texas A&M,13:57.70,JR-3
2,https://tf.tfrrs.org/athletes/8587830/West_Texas_AM/Enrico_Oddone,"Oddone, Enrico","Apr 11, 2024",3,https://tf.tfrrs.org/teams/tf/TX_college_m_West_Texas_AM.html,West Texas A&M,14:01.00,JR-3
3,https://tf.tfrrs.org/athletes/7888919/West_Texas_AM/Adrian_Legarreta,"Legarreta, Adrian","Mar 27, 2024",4,https://tf.tfrrs.org/teams/tf/TX_college_m_West_Texas_AM.html,West Texas A&M,14:20.12,JR-3
4,https://tf.tfrrs.org/athletes/8582036/Texas_Tyler/David_Soto,"Soto, David","Apr 11, 2024",5,https://tf.tfrrs.org/teams/tf/TX_college_m_Texas_Tyler.html,UT-Tyler,14:23.35,FR-1
5,https://tf.tfrrs.org/athletes/7367127/Oklahoma_Christian/Colten_Brown,"Brown, Colten","Apr 12, 2024",6,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Christian.html,Oklahoma Christian,14:38.65,SR-4
6,https://tf.tfrrs.org/athletes/7703414/West_Texas_AM/Jay_Hall,"Hall, Jay","Apr 11, 2024",7,https://tf.tfrrs.org/teams/tf/TX_college_m_West_Texas_AM.html,West Texas A&M,14:41.93,SR-4
7,https://tf.tfrrs.org/athletes/8601897/Western_New_Mexico/Jarred_Baca,"Baca, Jarred","Apr 5, 2024",8,https://tf.tfrrs.org/teams/tf/NM_college_m_Western_New_Mexico.html,Western New Mexico,14:45.05,JR-3
8,https://tf.tfrrs.org/athletes/7897937/Western_New_Mexico/Aaron_Perez,"Perez, Aaron","Apr 5, 2024",9,https://tf.tfrrs.org/teams/tf/NM_college_m_Western_New_Mexico.html,Western New Mexico,14:45.35,JR-3
9,https://tf.tfrrs.org/athletes/7689617/Dallas_Baptist/Adam_Whitehead,"Whitehead, Adam","Mar 21, 2024",10,https://tf.tfrrs.org/teams/tf/TX_college_m_Dallas_Baptist.html,Dallas Baptist,14:51.33,SR-4
10,https://tf.tfrrs.org/athletes/8233539/West_Texas_AM/Matthys_Bourse,"Bourse, Matthys","May 9, 2024",11,https://tf.tfrrs.org/teams/tf/TX_college_m_West_Texas_AM.html,West Texas A&M,14:54.38,SO-2
11,https://tf.tfrrs.org/athletes/7689092/Western_New_Mexico/Joshua__Lara,"Lara, Joshua","Apr 5, 2024",12,https://tf.tfrrs.org/teams/tf/NM_college_m_Western_New_Mexico.html,Western New Mexico,14:59.12,SR-4
